Object,Star,Star_type,Mass (M?),Radius (R?),Flux,Planet_Temp(K),Period (days),Distance(ly),Refs_Notes,Distance_mother_star(AU),Tem_Star(K),Absolute_magnitud,Radio_Star(m),Albedo,Solar_Flux (W/m^2),Star_radio(AU),Distance_Star_planet(m),Produc_Entropy,Planet_Diameter (m)
Gliese 229 Ac,Gliese 229Ã‚Â A,M1V,7.27,,0.53,216,122,18.8,,0.339,3700,,403680000,0.266743001,77.37510198,0.002698396,50850000000,0.749484,0
Kepler-174d,Kepler-174,K3V,,2.19,0.43,206,247.4,1254,[1],0.677,,,431520000,,,0.002884492,1.02E+11,,27904.98
Gliese 357 d,Gliese 357,M2V,6.1,,0.38,200,55.7,31,,0.204,3488,,231768000,0.25029459,20.14339751,0.001549251,30600000000,0.530676,0
Gliese 625 b,Gliese 625,M2V,2.82,,,290,14.628,21.3,[41],0.078,3350,,215760000,0.342972904,14.85391611,0.001442246,11700000000,1.86661,0
Gliese 163 c,Gliese 163,M3V,6.8,2.43,1.41,277,25.6,49,[1],0.1253,3300,-5.594878958,320160000,0.318649907,30.79709651,0.002140107,18804000000,1.61032,30963.06
Gliese 832 c,Gliese 832,M2V,5.4,1.5,0.99,253,35.7,16,[1],0.162,3620,-4.630510316,292320000,0.344030042,37.17673228,0.001954011,24300000000,1.23531,19113
Gliese 1061 c,Gliese 1061,M5V,1.74,,1.45,275,6.7,12,,0.035,2999,,100920000,0.238745811,2.08727763,0.000674599,5250000000,1.53092,0
Gliese 1061 d,Gliese 1061,M5V,1.64,,0.69,218,13,12,,0.052,2999,,100920000,0.336416631,2.08727763,0.000674599,7800000000,0.921492,0
K2-296b,EPIC 201238110,M?V,,1.87,1.15,264,28.2,519,,,,,23827.54,,,1.59E-07,0,,23827.54
Kepler-26e,Kepler-26,K?V,,2.22,1.37,275,46.8,1104,[42][43],0.22,4500,-6.158546452,410640000,0.641634034,175.1831896,0.00274492,33000000000,1.84492,28287.24
Kepler-440b,Kepler-440,K6V,1.86,1.91,1.44,273,101.1,981,[1],0.242,4134,-5.154056203,389760000,0.343661204,112.4077602,0.002605348,36300000000,1.55042,24337.22
Kepler-1090b,Kepler-1090,K0V,,2.25,1.2,267,198.7,2800,[1],,5321,,570720000,,661.5140787,0.003814973,,,28669.5
Kepler-1229b,Kepler-1229,M?V,2.7,1.4,0.49,213,86.8,865,[1],0.289,3748,-4.591558491,354960000,0.381015011,62.99078667,0.002372727,43350000000,0.724175,17838.8
Kepler-1410b,Kepler-1410,K?V,,1.78,1.34,274,60.9,1196,,0.2543,4092,-4.965626889,417600000,0.332648456,123.87491,0.002791444,38145000000,1.56193,22680.76
Kepler-1540b,Kepler-1540,K?V,,2.49,0.92,250,125.4,799,,0.426,4540,-5.756894563,480240000,0.352317237,248.2332446,0.00321016,63900000000,1.19066,31727.58
Kepler-1544b,Kepler-1544,K2V,,1.78,0.9,248,168.8,1092,[1],0.529,4886,-5.090447961,515040000,0.373176202,383.0148752,0.003442781,79350000000,1.20757,22680.76
Kepler-1552b,Kepler-1552,K?V,,2.47,1.1,261,184.8,2507,,0.632,5202,-5.281876823,542880000,0.231170058,546.775376,0.003628877,94800000000,1.31096,31472.74
Kepler-1606b,Kepler-1606,G?V,,2.07,1.41,277,196.4,2710,[32],0.6421,5422,-5.174796906,598560000,0.298231032,784.464521,0.00400107,96315000000,1.59252,26375.94
